Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Website,Contact Email,Full Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status
NUTS Technologies Inc.,https://www.crunchbase.com/organization/nuts-technologies,"Cyber Security, Information Technology, Privacy, Security","Glencoe, Illinois, United States",NUTS Technologies is a Provider of Object level security at the data level,"41,223",1/1/16,year,https://nutstechnologies.com/,investorrelations@nutstechnologies.com,Object level security at the data level,2300000,USD,2300000,Seed
CONNAX,https://www.crunchbase.com/organization/connax,"Cyber Security, Information Technology, Internet of Things, Telecommunications","Helsinki, Southern Finland, Finland","Integration, connectivity and security in Internet of Things, with help of new telecommunication technologies.","55,458",1/1/16,year,http://connax.io/,info@connax.io,"CONNAX is a software company developing embedded SIM software solutions. Focus of our company is secure connectivity in IoT. We are figuring out ho improve IoT security, connectivity and integration.",150000,EUR,166053,Seed
Yambuu Corporation,https://www.crunchbase.com/organization/yambuu-corporation,"Cyber Security, Email, File Sharing, Information Services, Software","Miami, Florida, United States",Yambuu Corporation provides security and control for valuable information.,"67,603",1/1/16,year,https://www.yambuu.com,info@yambuu.com,"Yambuu specializes in develop and design security communications innovation products that enables users to control information they sent to third parties by email, chat, or attachment documents any time.",300000,USD,300000,Seed
Barac,https://www.crunchbase.com/organization/barac,"Analytics, Big Data, Cyber Security, Fraud Detection, Information Technology, Machine Learning, Risk Management","London, England, United Kingdom",Barac is an advanced streaming analytics platform helping businesses and organisations take real time decisions.,"69,048",1/1/16,year,http://www.barac.io/,contact@barac.io,"Barac is an advanced streaming analytics platform helping businesses and organisations take real time decisions.  Barac help you take the right decision and enhance your business in real time. The facts are that you can not fight fraud for telecom or for financial insitutions after 24/48h, it's too late.. You need to take real time decisions based on real time data from different sources combined with strong analytics to predict and enhance your models everyday.",,,,Seed
Torsion Information Security,https://www.crunchbase.com/organization/torsion-information-security,"Cyber Security, Enterprise Software","London, England, United Kingdom","Confident Data Access Control - Get control of who has access to what, why and when. Secure, Compliant, Efficient.","81,859",1/1/16,day,https://www.torsionis.com,peter.bradley@torsionis.com,"Torsion delivers Confident Data Access Control. It helps you get control of who has access to what, why and when – among massive collections of files, folders and sites.  Access to files and folders sprawls much faster than it is controlled. Constant sharing with little visibility or control of who has access to what, leads to significant security and compliance challenges. Torsion integrates with your existing collaboration systems, working with business users to monitor and control access as circumstances constantly evolve. Working across Microsoft Teams, SharePoint, Office 365 and File Share systems – to improve data security and simplify compliance.  Unlike traditional data governance tools, Torsion focusses on the people in the business, to help them use information securely. Business users, not IT, are best positioned to understand who needs access to their information, and so we empower them without slowing them down. Torsion’s unique solution is cloud-first, smooth to deploy and affordable for businesses of all sizes.",565000,GBP,750630,Seed
Levl Technologies,https://www.crunchbase.com/organization/levl-technologies,"Cyber Security, Information Technology, Internet of Things, Security, Sensor","Santa Clara, California, United States",Levl Technologies is a company provides cyber-security solutions for sensor authentication in IoT .,"99,498",1/1/16,year,https://www.levltech.com/,,"Levl Technologies is a current cyber-security solutions for sensor authentication in IoT (e.g., credential management) have their roots in the classical cyber-security and in many scenarios are not suitable for the unique requirements of many IoT sensors which will be cheap, memory limited and with low processing power.",,,,Seed
Zyudly Labs,https://www.crunchbase.com/organization/zyudly-labs,"Cyber Security, Internet, Software","Palo Alto, California, United States",Zyudly Labs provides deep learning powered fraud and cybersecurity solutions for the financial services industry.,"106,830",1/1/16,year,http://www.zyudlylabs.com/,info@zyudlylabs.com,"Rather than simply providing a technology platform, they wanted to work collaboratively with companies to solve their cybersecurity and fraud challenges  end-to-end, using best-in-class data science. They truly believe in the power of deep learning + AI and it’s ability to be a force multiplier in combating fraud and cybersecurity incidents. They know that it can be a game changer but also a complex beast. They know the daunting struggles of figuring out where to start and also the scariness of scaling up. Most companies provide one piece of the analytics puzzle, be it the infrastructure, technology, people, or data science models - they focus on bundling all of the above into a cohesive solution to solve fraud and cybersecurity challenges effectively, efficiently and economically.",,,,Seed
ProtonVPN,https://www.crunchbase.com/organization/protonvpn,"Cyber Security, Internet, Privacy","Geneva, Geneve, Switzerland",ProtonVPN is Swiss-based VPN service,"109,845",1/1/16,year,https://protonvpn.com/,contact@protonvpn.com,"ProtonVPN is Swiss-based VPN service, created by the same team of CERN scientists who created ProtonMail. ProtonVPN makes it possible to access the Internet without censorship and surveillance.",,,,Seed
Shieldfy,https://www.crunchbase.com/organization/shieldfy,"Cyber Security, Developer Tools, Information Technology, Internet, SaaS, Security","Alexandria, Al Iskandariyah, Egypt",Shieldfy is web applicaiton security platform for web developers,"116,462",1/1/16,year,https://shieldfy.io,team@shieldfy.com,"They are a group of passionated developers and security experts come together to achieve a dream.They believe that evey one has the right to be safe and every one has the right to access to the information in an easy way without fear of being hacked or exposed.But today risks become more aggressive and more wild . so they decided to do something about it.They started Shieldfy as a ambitious project dedicated for provide developers, startups and businesses with the tools and informations they need to be secure and provide the proper level of safety to its user and soon to every internet user exists as they hope.",,,,Seed
APIIDA,https://www.crunchbase.com/organization/apiida,"Cloud Security, Cyber Security, SaaS",,"Security-as-a-Service, B2B SaaS Platform, Cloud Security, Cyber Security, Network Security, Enterprise Software,","200,301",1/1/16,year,https://apiida.com/?lang=en,sales@apiida.com,We make Digital Transformation happen by Securing Identities and Connecting Systems.,,,,Seed
WiRE Microsystems,https://www.crunchbase.com/organization/wire-microsystems,"Computer, Cyber Security, Information Technology, Operating Systems, Software","Cairo, Al Qahirah, Egypt",Connecting imagination to reality via Providing humanity with an incredibly stable & data loss free computing experience.,"202,686",1/1/16,year,https://www.wiremicrosystems.com/,info@wiremicrosystems.com,"WiRE Microsystems is a Software Company that is mainly interested in OS internals, Filesystem Design and System Disaster Recovery Solutions Design & Development. WiRE Microsystems' XMACHINE is the WORLD’S Fastest and Easiest System Disaster Recovery Solution for Computers/Servers which is Capable of Recovering the whole system including all of its software components with ONE SINGLE CLICK and within ONE SINGLE SECOND. Even in Permanent System Startup Failure and BSOD Situations with 100% user files guaranteed safety. XMACHINE uses an advanced Filesystem wise technology that is copyrighted for WiRE Microsystems. XMACHINE has an AI enabled edition that makes ATM Machines extremely error-aware to perform self immediate recovery whenever any kind of errors/failures takes place. WiRE Microsystems is the only contributor to the system disaster recovery software industry in the MENA region and Africa.",,,,Seed
Mazor,https://www.crunchbase.com/organization/mazor,"Cyber Security, Security","Tel Aviv, Tel Aviv, Israel",Mazor offers solutions detection of threats on network and security components.,"115,815",1/6/16,day,http://www.mazorcyber.com,adminmazor@mazorcyber.com,"Mazor offers the unique “Beholder Technology”, a network monitoring solution which targets and alerts on suspicious network activity occurring at the firewalls, indicating malware presence, malicious activity or weak configuration at your Firewalls and Network infrastructure.",15000,GBP,22816,Seed
Cydentify Solutions Inc.,https://www.crunchbase.com/organization/cydentify,Cyber Security,"New York, New York, United States",Mobile authentication platform utilizing artificial intelligence eliminating passwords on corp systems,"415,967",1/8/16,day,http://cydentifysolutions.com/,info@cydentifysolutions.com,Cydentify Solutionsis a mobile authentication platform that utilizes artificial intelligence to eliminate passwords on corp systems.,,,,Seed
Zeguro,https://www.crunchbase.com/organization/zeguro,"Cyber Security, Insurance","San Francisco, California, United States",Zeguro is a cyber insurance startup focusing on helping small businesses mitigate their cyber risks.,"6,817",2/1/16,month,https://www.zeguro.com/,hello@zeguro.com,Zeguro is a  customer-centric Cyber Insurance Platform that helps Small to Medium (SME) businesses mitigate risk and loss. They make micro-insurance part of the security framework for SMEs.,5000000,USD,5000000,Seed
SmartAxiom,https://www.crunchbase.com/organization/smartaxiom-iot-security-product-iot-connectivity-platform,"Blockchain, Cyber Security, Internet of Things, Security","Fullerton, California, United States",SmartAxiom applies deep embedded software to protecting both IoT devices and data using decentralized blockchain technology.,"46,622",2/6/16,day,https://www.smartaxiom.com,amit@smartaxiom.com,"The SmartAxiom Fortress platform provides comprehensive IoT security from sensor edge to client cloud for a true end-to-end solution. Fortress is built upon a comprehensive and multi-chain blockchain design pattern. Fortress has been specifically tailored to the security accuracy and performance of the global IoT: foundational hardware based cryptography, integrated device and system event distributed ledgers, autonomous smart contract performance and microtransaction capabilities fully synchronized with system real time. The Fortress platform facilitates transaction processing and coordination among different interacting parties in any IoT system. Fortress enforces IoT system data accuracy and operational requirements while fully catering to the four major security areas, authentication, authorization, encryption, and compliance. Our Purpose Via SmartAxiom Fortress Key Benefits • Available: Decentralized and Distributed ledgers mean no single point of failure • Scalable: Distributed ledgers enable keyless, peer-based authentication, reducing cloud traffic and eliminating certificate management overhead • Secure: Distributed ledgers and Multichain Architecture protect against unauthorized devices, malicious packets, weak encryption and man-in-the-middle attacks. • Unimpeachable Data integrity: Smart contracts enable permissioned access to permanent, time-stamped event records • Private: mechanisms to facilitate, verify and enforce agreements or permissions",100000,USD,100000,Seed
Neuralys,https://www.crunchbase.com/organization/neuralys,"Cyber Security, Risk Management, Security","Bethesda, Maryland, United States",Neuralys simplifies the risk mitigation process by improving collaboration among security teams and business units,"139,882",2/6/16,day,https://www.neuralys.io,info@neuralys.io,"Neuralys is a cybersecurity platform that allows businesses to overcome security issues faster and easier than ever before. We simplify the risk mitigation process by providing enterprises transparency, accountability, and governance to improve collaboration between security teams and business units, leveraging on existing tools, making them better, and drastically reducing risk mitigation times.",,,,Seed
BitSensor,https://www.crunchbase.com/organization/bitsensor,"Compliance, Cyber Security, Fraud Detection","Eindhoven, Noord-Brabant, The Netherlands",BitSensor uses big data correlation and efficient attack detection to give visual insight into attacks and creates applications,"41,129",2/15/16,day,https://bitsensor.io,info@bitsensor.io,BitSensor develops technology solutions that provides its users with security solutions for their applications. It also enables them to obtain insights about big data correlation. BitSensor was founded by Ruben Vreeland and Alex Dings in February 2016.,400000,EUR,425128,Seed
NormShield,https://www.crunchbase.com/organization/normshield,"Cyber Security, Risk Management, SaaS","Mclean, Virginia, United States","NormShield provides comprehensive Security-as-a-Service solutions focused on cyber threat intelligence, vulnerability management.","10,597",2/16/16,day,https://www.normshield.com,info@normshield.com,"NormShield provides comprehensive Security-as-a-Service solutions focused on cyber threat intelligence, vulnerability management and continuous perimeter monitoring. They harvest cyber threat data from multiple sources and provide actionable intelligence to their customers so they can take preventive measures. Technology quickly changes and evolves, so does the security posture of a system. Keeping a system secure is a difficult task. NormShield makes this task easier with its turnkey cloud or on-premise platforms enabling companies to detect and stop potential cyber threats early. NormShield Cyber Risk Scorecards provide the information necessary to protect business from cyber attacks. The scorecards provide a letter grade and a drill down into the data for each risk category so that remediation of vulnerabilities can be prioritized.",6500000,USD,6500000,Seed
Wootcloud,https://www.crunchbase.com/organization/wootcloud,"Cyber Security, Information Technology, Network Security, Security","San Jose, California, United States","WootCloud is a Device Context driven security firm traversing the IT/OT space across wired, wireless and RF spectrum","7,769",2/29/16,day,https://www.wootcloud.com/,connect@wootcloud.com,"WootCloud's HyperContext platform drives unprecedented device context, visibility and control across the IT/OT landscape.",6400000,USD,6400000,Seed
Suavei,https://www.crunchbase.com/organization/suavei,"Cyber Security, Information Technology, Internet of Things, SaaS, Software","Las Vegas, Nevada, United States",Suavei provides IoT cybersecurity by detecting and clearing threats on devices with the only self-optimizing solution on the market.,"26,307",3/1/16,month,https://suavei.com/,ceo@suavei.com,"Founded in 2016 by cybersecurity industry veterans, Suavei has developed and deployed the only self-calibrating threat management solution available for Internet-of-Things (IoT) devices.  Suavei's solution enables businesses to rapidly find, assess, and fix cybersecurity vulnerabilities in critical network infrastructure that is connected over wireless and wireline networks.  Suavei’s tool is fully automated, highly scalable, and 100% SaaS. Suavei was admitted to the EvoNexus Incubator (www.evonexus.org) on June 3, 2019, with mentoring and access to their extensive network of CEOs, CISOs, CTOs, and investors.",433000,USD,433000,Seed
FirstPoint Mobile Guard,https://www.crunchbase.com/organization/firstpoint-mobile-guard,"Cyber Security, Internet of Things, Mobile, Smart Cities, Telecommunications","Netanya, HaMerkaz, Israel",Giving organizations the power to protect all cellular device against all types of cellular cyber threats.,"27,234",3/1/16,month,https://www.firstpoint-mg.com/,info@firstpoint-mg.com,,2500000,USD,2500000,Seed
Valt.X Cyber Security,https://www.crunchbase.com/organization/valt-x-cyber-security,"Cyber Security, Hardware, Manufacturing","Surprise, Arizona, United States",Valt.X is developing technology to cybersecure endpoint computing devices with absolute certainty.,"51,112",3/2/16,day,http://www.valtx.com,dennis@valtx.com,"Valt.X is a USA and Canadian based Company that develops,, manufactures and markets software and semiconductor based hardware products designed to mitigate the threats associated with malware and other cyber-security issues. The company provides products that helps eradicate or neutralize attacking malware from all threat vectors including zero-day attacks and advanced persistent threats. ",6500000,USD,6500000,Seed
Cyberwrite,https://www.crunchbase.com/organization/cyberwrite,"Cyber Security, Insurance, Machine Learning","Tel Aviv, Tel Aviv, Israel",Cyberwrite provides cyber insurance technologies to the insurance eco-system.,"13,588",4/1/16,day,http://www.cyberwrite.com,info@cyberwrite.com,"Founded by cyber risk experts and insurance actuaries - Cyberwrite delivers cyber insurance technologies and solutions for the huge SMB cyber insurance market. The company has clients in the USA and Europe.  Cyberwrite is delivering cloud-based on-demand cyberprofiling technology which enables underwriters to make evidence-based decisions during the underwriting process. The company's subscription-based software is focused on cyberinsurance for small and midsize businesses (SMBs). Cyberwrite's platform creates a cyberrisk profile for a potential or existing insurance customers and benchmarks its cyberrisk, on demand, in near- real-time to over 50,000 other peer companies. Furthermore, it estimates the potential financial damages from a breach, so that the underwriter and business owner knows how much insurance coverage to offer or ask for.  Cyberwrite technology combines machine learning algorithms with proprietary cyberinsurance algorithms to estimate the likelihood and impact of various types of insurance coverages such data destruction, stolen records, ransom events and more. The Predictions are based on an automated and on-demand comparison of the cyberprofile of a prospective insurance customer to cyberprofiles data collected for thousands of other companies. Cyberwrite is a Gartner cool vendor for 2018 in the Insurance space.",1650000,USD,1650000,Seed
Probely,https://www.crunchbase.com/organization/probe-ly,"Cyber Security, SaaS, Web Apps","Lisbon, Lisboa, Portugal",Probely automates web vulnerability scanning and is targeted at companies that build online services.,"22,687",4/1/16,month,https://probely.com/,hello@probely.com,"Probely is a Web Vulnerability Scanning suite for Agile Teams. It provides continuous scanning of your Web Applications and lets you efficiently manage the lifecycle of the vulnerabilities found, in a sleek and intuitive web interface. Probely provides tailored instructions on how to fix the vulnerabilities (including snippets of code), and by using its API, it can be integrated into the development processes and the continuous integration tools in order to automatize security testing. Probely is a SaaS product targeted at companies that build online services.",1275000,EUR,1443887,Seed
Infisecure Technologies,https://www.crunchbase.com/organization/infisecure-technologies-inc,"Cyber Security, E-Commerce, Information Technology, Internet, Real Time, SaaS, Security","Mumbai, Maharashtra, India",InfiSecure is a real-time SaaS bot detection and protection platform to block online security threats.,"27,163",4/1/16,day,http://www.infisecure.com,abhilash@infisecure.com,"InfiSecure is a robust web security platform to detect and block online security threats. It is designed to give online businesses finely tuned control over bot traffic on their websites. It protects businesses from various online threats like content theft, hacking attempts, web scraping, price scraping, account hijacking, carding fraud, form spam and comment spam. InfiSecure is built with a belief that businesses should be able to enjoy the benefits of the Internet without the fear of risk or compromise. It provides website security to all online businesses including e-commerce, listing websites and classifieds, blogs, digital media and other businesses that collect user and customer data.",600000,USD,600000,Seed
Beauceron Security,https://www.crunchbase.com/organization/beauceron-security,"Cyber Security, Information Technology, Risk Management","Fredericton, New Brunswick, Canada","Cybersecurity start-up with a platform for measuring, managing and monitoring holistic cyber risk.","30,986",4/1/16,month,https://www.beauceronsecurity.com,INFO@BEAUCERONSECURITY.COM,"Beauceron makes it faster, easier and less complex for organisations to measure, manage and monitor human-centric cyber risk. Their comprehensive, automated cybersecurity platform covers cybersecurity education, social engineering simulations, executive surveys, and dashboards as well as business process, and technology gap assessment and analysis.",2000000,USD,2000000,Seed
Fing,https://www.crunchbase.com/organization/fing,"Consumer Electronics, Cyber Security, InsurTech, Internet of Things, Mobile Apps, Network Hardware, Smart Home, Software","Dublin, Dublin, Ireland","Consumer Electronics, Mobile Apps, SaaS, Data Intelligence for the Internet of Things","90,120",4/2/16,day,https://www.fing.com,hello@fing.com,"Fing is the expert in connected device intelligence. With over 35 million downloads, Fing App is the free, go-to tool for troubleshooting Wi-Fi networks and connected things. Our Device Intelligence technology is licensed by leading companies building products for the IoT. We're on a mission to give our customers visibility and control over their digital environment and connected technology.",,,,Seed
Tenta Browser,https://www.crunchbase.com/organization/tenta-browser,"Cyber Security, Internet, Privacy, Security, Web Browsers","Seattle, Washington, United States",Your Private & Encrypted Browser that protects your data instead of selling it.,"99,459",4/8/16,day,https://tenta.com,,"Tenta Browser encrypts and securely stores your downloaded data, so only you have access to your private files. Your bookmarks, tab history, notifications, and images, videos, and documents are only accessible after you enter your PIN, and are viewed in their private media players. You can also encrypt personal videos and images by moving them from your local device storage to your Tenta Vault in just two taps.",,,,Seed
TRAPMINE,https://www.crunchbase.com/organization/trapmine,"Cyber Security, Machine Learning, Network Security, Security","Tallinn, Harjumaa, Estonia",Next-Generation Threat Prevention ,"131,350",4/17/16,day,http://www.trapmine.com,info@trapmine.com,"TRAPMINE Endpoint Protection Platform provides fool-proof defense against malware, exploit attempts, file-less malware, ransomware and other forms of targeted attacks. Unlike traditional detection-based approaches like legacy antivirus, TRAPMINE combines proven and innovative technologies such as deep learning, behavior monitoring, endpoint deception and anti-exploit techniques to block cyber threats dead in their tracks. TRAPMINE's easy-deploy and lightweight solution comes with a comfortable built-in security console, at a price/performance ratio unmatchable even by the biggest names in Palo Alto. Why TRAPMINE? Cyber criminals target companies of all sizes from every industry, seeking anything that might be of value. Antivirus and other traditional security solutions are no longer efficient to protect organizations from attacks by today’s modern cyber threat actors. That’s why we founded TRAPMINE. TRAPMINE is created to solve the malware problem for all organizations at a reasonable price.",,,,Seed
Deceptive Bytes,https://www.crunchbase.com/organization/deceptive-bytes-ltd,"Cyber Security, Security","Holon, Tel Aviv, Israel",Deceptive Bytes provides Active Endpoint Cyber Defense solution: Prevention by Deception.,"46,471",5/18/16,day,https://deceptivebytes.com,company@deceptivebytes.com,"Deceptive Bytes provides an Active Endpoint Deception platform that dynamically responds to attacks as they evolve and changes their outcome, by creating deceptive information based on the current detected stage of compromise through the entire Endpoint Kill Chain. The preemptive solution covers the evolving nature of advanced threat landscape & sophisticated malware techniques, stopping all threats without relying on signatures, patterns or the need for constant updates. Gartner Cool Vendor 2019: Security Operations and Threat Intelligence. For more information, visit our website at www.deceptivebytes.com or follow us on LinkedIn, Twitter and Facebook.",15000,GBP,18243,Seed
Vicarius,https://www.crunchbase.com/organization/vicarius,"B2B, Cloud Security, Cyber Security, Enterprise, Enterprise Software, Software","Jerusalem, Yerushalayim, Israel",Vicarius protects clients against exploitation of yet-to-be-discovered software vulnerabilities.,"28,237",5/23/16,day,https://vicarius.io,info@vicarius.io,"Vicarius protects clients against exploitation of yet-to-be-discovered software vulnerabilities.  The Vicarius powered platform, called Topia, enables companies to predict, prioritize and protect against software vulnerabilities before they can be exploited by hackers. Vicarius begins by identifying weaknesses within clients' digital environment using a proprietary binary code analysis methodology. It then prioritizes these vulnerabilities, building a live threat map of the organization's infrastructure, using asset context analysis. Lastly, a shim layer is deployed to protect software from identified vulnerabilities by limiting access to its exploitable code in real-time. Topia is live and already protecting dozens of organizations worldwide. Vicarius' Topia clients enjoy a complete and automatic solution for the secure management of any software services in their network - shattering the common paradigm of software being treated as ""safe"" until a vulnerability is exposed. This new mind shift allows organizations to protect any software without involving the vendor or even their own IT teams.  Vicarius was founded in 2016 by three entrepreneurs from the information-security industry and operates out of Jerusalem's Machane Yehuda Market.",155000,USD,155000,Seed
CyberDot Inc.,https://www.crunchbase.com/organization/cyberdot-inc,"Commercial Insurance, Cyber Security, Information Technology, Insurance","Atlanta, Georgia, United States",Technology enabled cyber insurance brokerage.,"137,226",5/23/16,day,https://www.cyberdot.com,info@cyberdot.com,CyberDot is a technology-enabled cyber insurance brokerage. Our goal is to help SMBs find the most effective and affordable cyber insurance policy for their business and provide them with professional cyber security advice.,,,,Seed
Nethone,https://www.crunchbase.com/organization/nethone,"Artificial Intelligence, Big Data, Business Intelligence, Cyber Security, Fraud Detection, Machine Learning, Risk Management","Warsaw, Mazowieckie, Poland","Nethone: Know Your User to prevent fraud. Know Your Users to resolve fraud. Convert more to loyal customers, reject only fraudsters.","14,745",6/1/16,month,http://www.nethone.com,contact@nethone.com,"Nethone is the global leader in AI-driven KYU (Know Your Users) solutions that help enterprises from all around the world convert cyberthreats into well-informed, profitable decisions. From world-class fraud prevention, through real-time adaptive customer segmentation and retention tools, up to account takeover detection based on advanced behavioural biometrics, Nethone services simultaneously protect bottom lines and elevate profits of forward-looking businesses. Founded in 2016 by experienced data scientists, security experts, and business executives, Nethone is one of the fastest-growing companies in Central Europe.",1000000,USD,1000000,Seed
SWQITY,https://www.crunchbase.com/organization/swqity,"Big Data, Cyber Security, Enterprise Software, Information Technology, Mobile, Predictive Analytics, Product Management","Charleston, South Carolina, United States","SWQITY leverages the world’s first unified primary and secondary storage platform, Reduxio, in solving how we Store, Move and Deliver Data.","82,081",6/1/16,day,http://www.swqity.com,info@swqity.com,"SWQITY is the first company in the market to leverage the world’s leading unified primary and secondary storage platform created by Reduxio. We provide a secure, compliant, and cost-effective solution to address the challenges organizations face in Storing, Moving, and Delivering data. Our solutions address data at its core.  We ensure faster data access, higher levels of security and a greater peace of mind that your data systems are protected and compliant while reducing the total cost of ownership.   Our founders bring more than 30 years of leadership, engineering, systems development, and consulting experience to the table.  We are practiced in applying modern methodologies and technologies to improve business operations for our clients, customers, and partners. Our mission is to revolutionize the way companies store, move and deliver data and put data control back in the hands of the owner.    We are committed to pushing limits and thinking far outside the box. In an effort to drive innovation, we focus on creating a culture where employees are Engaged, Humble and Happy. Please visit us at www.SWQITY.com Please visit our friends at www.Reduxio.com",250000,USD,250000,Seed
