Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Website,Contact Email,Full Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,New
Code42,https://www.crunchbase.com/organization/code-42-software,"Cyber Security, Enterprise, SaaS, Security","Minneapolis, Minnesota, United States","Code42 is the leader in data loss protection, visibility and recovery solutions.","1,359",2001-10-01,day,http://www.code42.com,info@code42.com,"Code42 is the leader in data loss protection, visibility and recovery solutions. Native to the cloud, the Code42 Next-Gen Data Loss Protection solution rapidly detects insider threats, satisfies regulatory compliance requirements and speeds incident response — all without lengthy deployments, complex policy management or blocks on user collaboration. Security, IT and compliance professionals can protect endpoint and cloud data from loss, leak and theft while maintaining an open and collaborative culture for employees. Founded in 2001, more than 50,000 organizations worldwide, including the most recognized brands in business and education, rely on Code42 to safeguard their ideas. The company is headquartered in Minneapolis, Minnesota, and backed by Accel Partners, JMI Equity, NEA and Split Rock Partners. For more information, visit code42.com, read Code42’s blog or follow the company on Twitter. Founded in 2001 and headquartered in Minneapolis, Minn., Code42 has doubled its enterprise SaaS revenue year-over-year. Our customers include seven of the 10 world’s largest technology companies, 10 of the 20 most valuable brands, and seven of the eight Ivy League colleges and universities.",137500000,USD,137500000,Early Stage Venture,New
Ubisecure,https://www.crunchbase.com/organization/ubisecure,"Cloud Security, Cyber Security, Enterprise Software, Identity Management, Privacy","Espoo, Southern Finland, Finland","Ubisecure provides a Customer IAM platform for Enterprises to use Digital Identities to improve Customer journeys, security and privacy.","98,078",2002-01-01,year,https://www.ubisecure.com,sales@ubisecure.com,"Ubisecure is a European Customer Identity & Access Management (CIAM) software provider and cloud identity services enabler. The company provides a powerful Identity Platform to connect customer digital identities with customer-facing SaaS and enterprise applications in the cloud and on-premise. The platform consists of productised CIAM middleware and API tooling to help connect, manage, consolidate and secure Customer identities while improving privacy and consent around personal data sharing to meet requirements such as GDPR and PSD2. Ubisecure is accredited to issue Legal Entity Identifiers (LEI) under its RapidLEI brand, a cloud based service that automates the LEI lifecycle to deliver LEIs quickly and easily.",,,,Early Stage Venture,New
CriticalBlue,https://www.crunchbase.com/organization/criticalblue,"Analytics, Cyber Security, Embedded Software, Embedded Systems, Enterprise Software, Information Technology, Security, Software Engineering","Edinburgh, Edinburgh, City of, United Kingdom",CriticalBlue is an established company with a strong track record in providing solutions across multiple sectors of the technology industry.,"120,976",2002-01-01,year,http://www.criticalblue.com,enquiries@criticalblue.com,"Headquartered in Edinburgh, Scotland, with a branch office in San Jose, California, CriticalBlue is a well-established part of the Edinburgh technological scene. We launched Approov to help our customers protect the business value that is flowing through their API channels. Our innovative technology enables next generation mobile API security, eradicating whole classes of threats and inefficiencies with one seamless integration into existing software infrastructure. Our extensive experience in the depths of the software stack and our dynamic runtime technologies proven in the field make us ideally positioned to offer a digital business protection solution that is effective even at the lowest binary level, computationally efficient, and straightforward to integrate.",9700000,USD,9700000,Late Stage Venture,New
Elemental Cyber Security,https://www.crunchbase.com/organization/elemental-cyber-security,"Cyber Security, Internet, Security","Las Vegas, Nevada, United States",Elemental Cyber Security is a provider of enterprise policy and risk management solutions in the United States.,"160,550",2002-01-01,year,http://www.elementalsecurity.com,info@ElementalSecurity.com,"Elemental Cyber Security, Inc. provides enterprise policy and risk management solutions in the United States. It offers Elemental Security Platform, which enables organizations to translate business objectives into specific policies for various users and systems on networks. Elemental Cyber Security, Inc. was founded in 2002 and is headquartered in Las Vegas, Nevada.",21000000,USD,21000000,Late Stage Venture,New
CenterBoard,https://www.crunchbase.com/organization/centerboard,Cyber Security,"Pleasanton, California, United States",CenterBoard's technology enables right-time access to distributed information regardless of how and where the data is stored.,"329,494",2002-01-01,year,http://www.centerboard.com,,"CenterBoard is a privately held company that is breaking new ground in combining network and database technologies to lead the emerging market for Enterprise Information Integration. CenterBoard's technology enables right-time access to distributed information regardless of how and where the data is stored. The company has built a strong management team with expertise across both the database and networking fields. As early employees of other successful start-ups, including Red Brick Systems, Cloudscape, CopperCom, Auspex and Portal, the management team has a depth of experience in growing early-stage companies to become market leaders.",6000000,USD,6000000,Early Stage Venture,New
E-Semble,https://www.crunchbase.com/organization/e-semble,"Cyber Security, Education, Information Technology, Professional Services, Security, Serious Games, Training","Delft, Zuid-Holland, The Netherlands",E-Semble designs and develops simulation tools for training and education of safety and security professionals.,"189,359",2003-01-01,year,http://e-semble.com/,info@xvrsim.com,"E-Semble designs and develops simulation tools for training and education of safety and security professionals. With the ""serious gaming"" simulation software, rescue professionals and security teams from public and private safety and security services can be educated. Virtual incident exercises are incidents realistically simulated by computer. Using a joystick, one or more course participants walk around in the simulated world of a virtual incident. Course participants experience a virtual incident scenario as extremely realistic. The stress felt during exercises is considerable, because the problem situations that arise fully match reality. In this virtual world, the course participant can open doors, enter buildings, walk up and down stairs and look into and under vehicles. The vital signs of victims can also be retrieved, for triage purposes.",,,,Early Stage Venture,New
Group-IB,https://www.crunchbase.com/organization/group-ib,"Cyber Security, Fraud Detection, Information Technology, Network Security","Singapore, Central Region, Singapore","Group-IB is a provider of solutions aimed at detection and prevention of cyber attacks and online fraud, and IP protection.","17,208",2003-10-01,month,http://www.group-ib.com/,info@group-ib.com,"Group-IB is a leading provider of solutions aimed at detection and prevention of cyber attacks and online fraud, and IP protection.  GIB Threat Intelligence system was named one of the best in class by Gartner, Forrester, and IDC. Group-IB’s technological leadership is built on company’s fifteen years of hands-on experience in cybercrime investigations all over the world and 55 000 hours of cyber security incident response accumulated in the largest forensic laboratory in Eastern Europe and a round-the-clock center providing a rapid response to cyber incidents—CERT-GIB.  Group-IB is a partner of INTERPOL, Europol, and a cybersecurity solutions provider, recommended by SWIFT and OSCE.",938000,USD,938000,Early Stage Venture,New
Venafi,https://www.crunchbase.com/organization/venafi,"Cyber Security, Enterprise Software, Security","Salt Lake City, Utah, United States",Venafi is a cybersecurity company automating security for all keys and certificates.,"1,588",2004-01-01,year,http://www.venafi.com,info@venafi.com,"Criminals want to gain trusted status and go undetected. This makes keys and certificates a prime target, which are blindly trusted by most of today’s Global 5000 enterprises. Criminals steal and compromise keys and certificates that are not properly protected, and use them to circumvent security controls—to hide in encrypted traffic, deploy malware, and steal data. these uniquely identify webservers, software, mobile devices, apps, admins, and even airplanes This has become the attack of choice.  Current security controls are being undermined. Compromised SSL/TLS, SSH and mobile certificates and keys undermine data loss prevention, next-gen firewalls, strong authentication, sandboxing and other security systems. Attackers 1) mask their true identity using keys and certificates and 2) hide their actions by encrypting data which means you can’t look inside for threats. Protecting keys and certificates eliminates both of these blind spots and makes all security systems stronger.  Venafi finds all keys and certificates and puts them under surveillance to detect anomalies, and learns and adapts as it works. Venafi identifies what keys and certificates are trusted and those that need to be replaced. It keeps keys and certificates secured to your policy and replaces them automatically. From stopping certificate-based outages to enabling SSL inspection, Venafi creates an ever-evolving, intelligent response that protects your network, your business, and your brand.",167199997,USD,167199997,Late Stage Venture,New
Mocana,https://www.crunchbase.com/organization/mocana,"Cyber Security, Enterprise Software, Information Technology, Manufacturing, Mobile, Security","San Francisco, California, United States","Mocana creates and develops mobile application protection (MAP) app-shielding solutions, enabling users to secure mobile apps.","4,810",2004-01-01,year,http://www.mocana.com,sales@mocana.com,"Mocana unlocks the extended mobile enterprise and simplifies wide-scale deployments by securing apps automatically, in seconds. The company's Mobile Application Protection (MAP) app-shielding solution, distributed globally by SAP, mitigates the complexities of mobile management, while freeing developers from tedious and expensive security coding. Launched in 2004 and recognized by the World Economic Forum as a 2012 Technology Pioneer, Mocana is the app security expert, with deep expertise born from a decade of experience securing mission- and life-critical embedded devices across the Internet of Things: from mobile handsets to medical devices to aerospace and defense; from datacom to retail POS to smart grid and industrial automation..  Every day, millions of people use products sold by over 150 companies that leverage Mocana's Device Security solutions, including Cisco, Honeywell, Dell, General Electric, General Dynamics, Avaya and Harris, among others. Mocana recently won Frost & Sullivan's Technology Innovation of the Year award for Device Security, and was named to the Red Herring Global 100 as one of the ""top 100 privately-held technology companies in the world"". Watch an analyst interview with SVP John Aisien here: https://vimeo.com/127947886",95737075,USD,95737075,Late Stage Venture,In Contact
Tyfone,https://www.crunchbase.com/organization/tyfone,"Banking, Cyber Security, Finance, Mobile, Security","Portland, Oregon, United States",Tyfone offers a mobile financial services platform that enables banks to offer customers mobile banking and payments systems.,"16,261",2004-01-01,year,http://tyfone.com,contact08@tyfone.com,"Tyfone makes a mobile financial services platform, which allows banks to give customers a branded banking and payment system for mobile phones. Operating in any standard memory card slot, Tyfone’s u4ia® platform and its companion SideTap™ memory card comprise the world's first patented, neutral, and comprehensive memory card-based payments solution for mobile contactless payments. Tyfone and its partners enable a suite of services including Mobile Banking, Mobile Identity Management, Mobile Remote Payments, Mobile Retail Services and Mobile Contactless Payments.",13700000,USD,13700000,Late Stage Venture,New
TraceSecurity,https://www.crunchbase.com/organization/tracesecurity,"Cyber Security, Risk Management, Security","Baton Rouge, Louisiana, United States","TraceSecurity, a cloud-based security solutions developer, provides IT governance, risk and compliance (GRC) management solutions.","102,230",2004-01-01,year,http://www.tracesecurity.com,info@tracesecurity.com,"TraceSecurity, a leading pioneer in cloud-based security solutions, provides IT governance, risk and compliance (GRC) management solutions. The company's cloud-based services help organizations achieve, maintain and demonstrate security compliance while significantly improving their security posture. With more than 1,500 customers, TraceSecurity supports the security and risk management efforts of organizations in financial services, healthcare, high-tech, insurance, government, education and other regulated sectors. Founded in 2004, the company has executive offices in Silicon Valley and offices in Baton Rouge, Louisiana.    Through a combination of software and professional services, TraceSecurity helps clients address all critical components of a successful risk-based information security program – including people, processes and technology. TraceSecurity's flagship solution, TraceCSO, is the first and only cloud-based software solution that makes IT GRC a complete and affordable business application for small to medium enterprises (SMEs) of any industry or security skill set. In addition, TraceSecurity offers professional services that include, but are not limited to, social engineering, penetration testing, risk assessments, information security audits, security awareness training and vulnerability assessments.",12250000,USD,12250000,Late Stage Venture,New
Convergence,https://www.crunchbase.com/organization/convergence,"Communications Infrastructure, Cyber Security, Information Technology, Security, Telecommunications, VoIP","Maynard, Massachusetts, United States",Convergence is a provider of IP communications security.,"199,974",2004-01-01,year,http://www.covergence.com/,,"Convergence is focused on the development of security solutions for IP communications. It offers software-based SBCs. Convergence is acquired by Acme Packet. Convergence was founded by Kenneth Kuenzel in 2004. It is based in Maynard, Massachusetts.",30000000,USD,30000000,Late Stage Venture,New
Centeris Corporation,https://www.crunchbase.com/organization/centeris-corporation,"CRM, Cyber Security, Developer Tools, Enterprise Software, Information Technology","Bellevue, Washington, United States",Centeris solutions provide tools for system administrators to configure server roles and integrate Linux and UNIX systems.,"289,190",2004-01-01,year,http://www.centeris.com,info@centeris.com,"Centeris solutions, Likewise Admin and Likewise Identity, provide familiar Windows-based tools for system administrators to easily configure server roles and seamlessly integrate Linux and UNIX systems with Microsoft Active Directory. This enables companies running mixed networks to utilize existing Windows skills/resources, maximize the value of their Active Directory investment, strengthen the security of their network and lower Linux server TCO.",16500000,USD,16500000,Early Stage Venture,New
iboss,https://www.crunchbase.com/organization/iboss,"Cloud Computing, Cyber Security, Network Security, Security, Software","Boston, Massachusetts, United States",iboss created the only web gateway as a service specifically designed to solve the challenge of securing distributed organizations.,"1,704",2004-06-04,day,https://www.iboss.com,marketing@iboss.com,"iboss has created the first and only web gateway as a service specifically designed to solve the challenge of securing distributed organizations. Built for the cloud, the iboss Distributed Gateway Platform leverages an elastic, cloud-based node architecture that provides advanced security for today’s decentralized organizations with more financial predictability. Backed by more than 110 patents and patents pending, and protecting over 4,000 organizations worldwide, iboss is one of the fastest growing cybersecurity companies in the world. To learn more, visit www.iboss.com.",35000000,USD,35000000,Early Stage Venture,New
DFLabs,https://www.crunchbase.com/organization/dflabs,"Cyber Security, Network Security","Milano, Lombardia, Italy",DFLabs is an ISO9001 certified company specializing in Security Automation and Orchestration Technology,"9,031",2004-10-01,day,http://www.dflabs.com,info@dflabs.com,"DFLabs is a recognized global leader in security automation and orchestration technology. The company’s management team has helped shape the cyber security industry, which includes co-editing several industry standards such as ISO 27043 and ISO 30121. Its flagship product, IncMan, has been adopted by Fortune 500 and Global 2000 organizations worldwide. DFLabs has operations in Europe, North America, and EMEA. For more information, visit www.dflabs.com or connect with us on Twitter @DFLabs.",9000000,USD,9000000,Early Stage Venture,In Contact
Bishop Fox,https://www.crunchbase.com/organization/bishop-fox,"Consulting, Cyber Security, Enterprise Software, Information Services, Management Consulting, Network Security, Professional Services, Software Engineering","Phoenix, Arizona, United States",The largest private professional services firm focused on offensive security testing,"2,690",2005-01-01,year,http://www.bishopfox.com/,contact@bishopfox.com,"Bishop Fox is the largest private professional services firm focused on offensive security testing. Since 2005, the firm has provided security consulting services to the world's leading organizations — working with over 25% of the Fortune 100 — to help secure their products, applications, networks, and cloud with penetration testing and security assessments. The company is headquartered in Phoenix, AZ and has offices in Atlanta, GA; San Francisco, CA; New York, NY; and Barcelona, Spain.",25000000,USD,25000000,Early Stage Venture,New
ObserveIT,https://www.crunchbase.com/organization/observeit,"Cloud Security, Compliance, Cyber Security, Information Services, Information Technology, Software","Boston, Massachusetts, United States",ObserveIT helps organizations identify and eliminate insider threats.,"2,216",2006-01-01,year,http://www.observeit.com,sales@observeit.com,"ObserveIT helps organizations identify and eliminate insider threats. With more than 1,600 global customers across all major verticals, ObserveIT is an insider threat monitoring and prevention solution that empowers security teams to detect insider threats, streamline the investigation process, and prevent data exfiltration. The company is headquartered in Boston, Massachusetts, United States.",53000000,USD,53000000,Early Stage Venture,New
UltraSoC Technologies,https://www.crunchbase.com/organization/ultrasoc,"Cyber Security, Embedded Systems, Hardware, Infrastructure, Software","Cambridge, Cambridgeshire, United Kingdom",UltraSoC Technologies provides SoC infrastructure to enable rapid development of embedded systems.,"4,138",2006-01-01,year,http://www.ultrasoc.com,enquiries@ultrasoc.com,UltraSoC Technologies is an independent provider of SoC infrastructure to enable rapid development of embedded systems based on advanced SoC devices. Its head office is in Cambridge and it has research and development labs in Colchester.,21284577,USD,21284577,Late Stage Venture,New
QuintessenceLabs,https://www.crunchbase.com/organization/quintessencelabs,"Computer, Cyber Security, Network Security, Quantum Computing","Canberra, Australian Capital Territory, Australia",The Global Leader in Quantum Security,"11,314",2006-01-01,year,https://www.quintessencelabs.com/,info@quintessencelabs.com,"The Global Leader in Quantum Security. The company has developed a suite of data security technology, products, and solutions to secure valuable digital information in-transit, at-rest or in-use. By centralizing the management and control of data-security policy and harnessing quantum science properties to strengthen data security solutions, its solutions maximize security, increase ROI from existing assets, and reduce data-security complexities. Customers include financial services companies such as Westpac Group, a leading Australian bank, Technology providers, such as NetDocuments, a cloud storage provider for the legal industry, and PKWare, federal customers such as the US State Department, and defence primes such as Boeing Corporation and Northrop Grumman. ",21075381,USD,21075381,Early Stage Venture,New
VU Security,https://www.crunchbase.com/organization/vu-security,"Biometrics, Cyber Security, Fraud Detection, Identity Management, Internet of Things, Mobile, Mobile Devices, Mobile Payments, Security","Buenos Aires, Distrito Federal, Argentina",VU Security is a developer of double-factor authentication solutions using hardware in mobile phones as a means of use and distribution.,"17,975",2006-01-01,year,http://www.vusecurity.com,info@vusecurity.com,VU Security is a developer of double-factor authentication solutions using hardware in mobile phones as a means of use and distribution.,5335000,USD,5335000,Early Stage Venture,In Contact
Netwrix,https://www.crunchbase.com/organization/netwrix,"Cyber Security, Software","Irvine, California, United States","A provider of visibility and governance platform for on-premises, hybrid and cloud IT environments.","41,622",2006-06-20,day,http://www.netwrix.com,,"Netwrix Corporation was first to introduce visibility and governance platform for on-premises, hybrid and cloud IT environments. More than 160,000 IT departments worldwide rely on Netwrix to detect insider threats on premises and in the cloud, pass compliance audits with less expense and increase productivity of IT security and operations teams.  Founded in 2006, Netwrix has earned more than 100 industry awards and been named to both the Inc. 5000 and Deloitte Technology Fast 500 lists of the fastest growing companies in the U.S. For more information, visit www.netwrix.com.",,,,Early Stage Venture,New
WOT Services,https://www.crunchbase.com/organization/wot-services,"Cyber Security, E-Commerce, Information Technology, Security","Helsinki, Southern Finland, Finland",WOT Services is a website reputation and review service.,"41,767",2006-07-05,day,https://www.mywot.com/,jakiedelham@gmail.com,"MyWOT / WOT (Web of Trust) is a website safety reputation and review extension that helps you make informed decisions about whether to trust a website when you are searching, shopping or surfing online. MyWOT displays website reputations as traffic lights next to links when you use search engines, social networking sites, email and popular sites such as Wikipedia. By clicking the traffic light icon you can learn more about a website’s reputation and other users’ opinions. A green traffic light means users have rated the site as trusted and reliable, red warns of potential threats and yellow indicates that you should proceed with caution. MyWOT ratings and reviews are powered by a global community of millions of users who rate websites based on their personal experiences, and are verified by trusted technical sources. Additionally, third-party sources warn you of malware and other threats you might encounter. With MyWOT, you can contribute to web safety by rating websites yourself, warning other users of potential threats you’ve come across.",1300000,USD,1300000,Early Stage Venture,New
FRISS,https://www.crunchbase.com/organization/friss,"Compliance, Cyber Security, Fraud Detection, Information Technology, InsurTech, Risk Management, SaaS, Security, Software","Utrecht, Utrecht, The Netherlands","FRISS is the global market leader in analytics software for fraud, risk and compliance for P&C insurers.","7,203",2006-08-21,day,https://www.friss.com/,info@friss.com,"FRISS has 100% dedication to fraud, risk and compliance for non-life insurance companies worldwide. FRISS helps insurers to achieve profitable portfolio growth and improve their perception in the market as a trustworthy insurer. FRISS is a ready-to-use business solution and improves the insurers' loss ratios by identifying high risks and fraud at quotation, underwriting and claim handling across all private and commercial lines. The FRISS® Score enables better decisions since it indicates the risk for each quotation, policy or claim. FRISS is global market leader with 150+ implementations in over 30 countries. FRISS (www.friss.com) offers a complete solution for fraud, risk and compliance.  ☆ Risk assessment at underwriting ☆ Generate profitable growth for your portfolio by real-time automated detection and assessment of risks during the underwriting process. It is important to prevent fraud and assess risks by having a holistic view of prospects before they enter your portfolio. The FRISS underwriting solution provides an intelligent and uniform risk estimation, which is proven to improve the combined ratio significantly. ☆ Prevent and detect fraud at claims ☆ The general assumption is that, at average, around 10% of all Insurance Claims are tied to some sort of fraud. In order to finance these malicious claims, we all pay additional for our Insurance Policies. Three things are important: - How to detect fraud correctly and efficiently? - How to detect malicious customers in time? - How do you handle this in your daily operational business? Reduce your loss ratio by increasing the chances of detecting fraud and limit false positives to a minimum. Use automated fraud detection during the claims process to make an accurate and objective estimation of the risks related to a claim. It improves straight through processing (STP), and claims that need further attention will be recognized directly. ☆ Become and stay compliant ☆ Compliance concerns all insurance processes. Become and stay compliant with the latest legislation and regulations. Knowing and screening your customers will prevent reputational damage and avoids high penalties. Gain insight into Ultimate Beneficial Owners (UBOs). This will enhance the quality of your underwriting process. Furthermore, administrative burdens will be reduced to a minimum. FRISS is recognized by Gartner in 2014 as the European market leader and striving to become the global leader.",15000000,EUR,17613758,Early Stage Venture,In Contact
Lookout,https://www.crunchbase.com/organization/lookout,"Cloud Security, Cyber Security, Enterprise Software, Mobile, Network Security, Security","San Francisco, California, United States",Lookout is a cybersecurity company that predicts and stops mobile attacks before harm is done to an individual or an enterprise.,"2,050",2007-01-01,year,http://www.lookout.com,hr@lookout.com,"Lookout is a cybersecurity company that predicts and stops mobile attacks before harm is done to an individual or an enterprise. Lookout’s cloud-based technology is fueled by a global sensor network of more than 60 million users and tens of thousands of apps that are added daily. With this dataset of virtually all the mobile code in the world and the predictive machine intelligence to analyze and make sense of the data, Lookout can identify connections that would otherwise go unseen and stop cybercriminals from attacking mobile devices. Headquartered in San Francisco, Lookout has offices in Boston, London, Singapore, Tokyo, Toronto and Washington, D.C.",282339000,USD,282339000,Late Stage Venture,In Contact
